ticker,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
AAPL,Apple Inc,Common stocks,Large cap,Information Technology,"$2,134,088,063,880 ",0.67%,20.94,0,31.66,Analyze
MSFT,Microsoft Corp,Common stocks,Large cap,Information Technology,"$1,783,819,089,247 ",1.06%,24.27,0,10.79,Analyze
GOOG,Alphabet Inc Class C,Common stocks,Large cap,Communication Services,"$1,115,013,560,000 ",0.00%,7.58,0,2.22,Analyze
GOOGL,Alphabet Inc Class A,Common stocks,Large cap,Communication Services,"$1,115,013,560,000 ",0.00%,7.38,0,2.17,Analyze
AMZN,Amazon.Com Inc.,Common stocks,Large cap,Consumer Discretionary,"$1,000,986,307,749 ",0.00%,46.75,0,7.47,Analyze
XOM,Exxon Mobil Corp,Common stocks,Large cap,Energy,"$465,984,900,586 ",3.10%,17.66,0,2.69,Analyze
UNH,Unitedhealth Group Inc,Common stocks,Large cap,Health Care,"$457,429,275,669 ",1.30%,25.5,0,6.12,Analyze
JNJ,Johnson & Johnson,Common stocks,Large cap,Health Care,"$453,429,891,962 ",2.54%,22.38,0,5.94,Analyze
V,Visa Inc Class A,Common stocks,Large cap,Information Technology,"$421,675,874,653 ",0.70%,30.27,0,11.53,Analyze
NVDA,Nvidia Corp,Common stocks,Large cap,Information Technology,"$420,785,100,000 ",0.09%,44.36,0,16.26,Analyze
JPM,JP Morgan Chase & Co,Common stocks,Large cap,Financials,"$419,477,631,033 ",2.77%,9.89,0,1.4,Analyze
WMT,Walmart Stores Inc,Common stocks,Large cap,Consumer Staples,"$391,818,079,846 ",1.53%,29.22,0,4.94,Analyze
TSLA,Tesla Inc,Common stocks,Large cap,Consumer Discretionary,"$383,536,733,508 ",0.00%,48.04,0,11.84,Analyze
META,"Meta Platforms, Inc.",Common stocks,Large cap,Communication Services,"$368,476,200,000 ",0.00%,0,0,0,Analyze
PG,Procter & Gamble,Common stocks,Large cap,Consumer Staples,"$359,924,159,732 ",2.37%,23.93,0,7.68,Analyze
MA,Mastercard Inc Class A,Common stocks,Large cap,Information Technology,"$358,172,117,956 ",0.54%,37.08,0,50.03,Analyze
LLY,Eli Lilly,Common stocks,Large cap,Health Care,"$343,603,332,198 ",1.08%,54.57,0,35.85,Analyze
CVX,Chevron Corp,Common stocks,Large cap,Energy,"$343,336,860,228 ",3.16%,16.71,0,2.34,Analyze
HD,Home Depot Inc,Common stocks,Large cap,Consumer Discretionary,"$339,068,435,186 ",2.27%,20.06,0,-193.9,Analyze
MRK,Merck & Co Inc,Common stocks,Large cap,Health Care,"$284,598,198,082 ",2.47%,19.45,0,6.75,Analyze
BAC,Bank of America Corp,Common stocks,Large cap,Financials,"$282,630,287,780 ",2.42%,9.14,0,1.01,Analyze
ABBV,Abbvie Inc,Common stocks,Large cap,Health Care,"$271,638,606,029 ",3.66%,21.14,0,16.2,Analyze
PFE,Pfizer Inc,Common stocks,Large cap,Health Care,"$268,597,100,595 ",3.30%,10.12,0,3.06,Analyze
KO,Coca-Cola,Common stocks,Large cap,Consumer Staples,"$265,654,849,808 ",2.83%,25.09,0,10.41,Analyze
AVGO,Broadcom Inc.,Common stocks,Large cap,Information Technology,"$241,956,075,060 ",2.89%,32.13,0,10.52,Analyze
PEP,Pepsico Inc,Common stocks,Large cap,Consumer Staples,"$241,429,761,785 ",2.56%,23.26,0,12.99,Analyze
ORCL,Oracle Corp,Common stocks,Large cap,Information Technology,"$240,505,767,600 ",1.43%,30.92,0,-26.89,Analyze
TMO,Thermo Fisher Scientific Inc,Common stocks,Large cap,Health Care,"$228,979,453,999 ",0.21%,29.92,0,5.55,Analyze
COST,Costco Wholesale Corp,Common stocks,Large cap,Consumer Staples,"$215,319,514,719 ",0.72%,39.06,0,11.09,Analyze
NKE,Nike Inc Class B,Common stocks,Large cap,Consumer Discretionary,"$201,006,000,000 ",0.97%,32.25,0,13.32,Analyze
CSCO,Cisco Systems Inc,Common stocks,Large cap,Information Technology,"$200,840,302,883 ",3.08%,16.73,0,4.97,Analyze
